OID,Year,Date,ID,UTMEast,UTMNorth,Sex,Weight,SVL,TailLength,TotalLength,TailStatus,ReproStatus,#FolliclesOrEggs
16746,2010,2010-03-19,SNOWID1667,521491,2813737,Male,5870,213.0,,,,,
16747,2010,2010-03-19,SNOWID1666,521491,2813737,Male,,217.0,,,,,
16748,2010,2010-03-19,SNOWID1664,521491,2813737,Female,60850,456.0,,,,Secondary,
16749,2010,2010-03-15,SNOWID1662,465912,2864928,Male,14270,270.0,,,,,
16750,2010,2010-03-11,SNOWID1663,428538,2871461,Female,8440,235.0,,,,,
16751,2010,2010-03-07,SNOWID1661,474120,2854137,Female,6110,219.0,,,,,
16752,2010,2010-03-04,SNOWID1657,433327,2876016,Male,22290,,,,,,
16753,2010,2010-03-04,SNOWID1656,523915,2849360,Female,10990,248.5,,,,,
16754,2010,2010-03-03,SNOWID1655,529330,2807936,Female,2630,166.5,,,,,
16755,2010,2010-02-27,SNOWID1654,551022,2805103,Female,39100,357.0,,,,,
16756,2010,2010-02-23,SNOWID1651,538744,2807315,Male,4470,185.5,,,,,
16757,2010,2010-02-23,SNOWID1650,514438,2852750,Male,13660,279.0,,,,,
16758,2010,2010-02-19,SNOWID1669,530576,2801457,Male,5700,208.0,,,,,
16759,2010,2010-02-18,SNOWID1670,526291,2801449,Male,1510,143.5,,,,,
16760,2010,2010-02-18,SNOWID1648,547356,2830401,Female,4970,203.0,,,,,
16761,2010,2010-02-16,SNOWID1644,532775,2847630,Female,41660,405.5,,,,,
16762,2010,2010-02-14,SNOWID1643,529447,2801453,Male,3810,174.0,,,,,
16763,2010,2010-02-09,SNOWID1646,544110,2832390,Male,940,114.5,,,,,
16764,2010,2010-02-09,SNOWID1647,544378,2832404,Male,3700,168.5,,,,,
16765,2010,2010-02-08,SNOWID1641,553708,2806547,Male,5230,202.5,,,,,
16766,2010,2010-02-08,SNOWID1671,467766,2864816,Female,19190,311.0,,,,,
16767,2010,2010-02-06,SNOWID1642,560036,2779974,Female,12390,239.0,,,,,
16768,2010,2010-02-04,SNOWID1659,524241,2849357,Male,8170,228.0,,,,,
16769,2010,2010-02-01,SNOWID1635,514436,2852647,Male,,,,,,,
16770,2010,2010-01-28,SNOWID1623,532715,2849118,Male,3470,190.0,,,,,
16771,2010,2010-01-28,SNOWID1632,514503,2853159,Male,13950,266.0,,,,,
16772,2010,2010-01-23,SNOWID1611,532856,2845345,Male,5660,211.5,,,,,
16773,2010,2010-01-23,SNOWID1610,532806,2846782,Female,2250,150.5,,,,,
16774,2010,2010-01-22,SNOWID1606,542192,2848719,Female,,,,,,,
16775,2010,2010-01-22,SNOWID1626,555593,2803997,Female,,,,,,,
16776,2010,2010-01-21,SNOWID1602,558477,2804778,Male,,,,,,,
16777,2010,2010-01-21,SNOWID1604,527481,2801454,Male,6050,207.5,,,,,
16778,2010,2010-01-21,SNOWID1605,535472,2802096,Female,11920,259.0,,,,,
16779,2010,2010-01-20,SNOWID1601,537336,2805274,Male,5040,191.5,,,,,
16780,2010,2010-01-20,SNOWID1600,537412,2805398,Female,1960,147.0,,,,,
16781,2010,2010-01-19,SNOWID1660,532826,2846161,Male,2940,166.5,,,,,
16782,2010,2010-01-18,SNOWID1595,520226,2815124,Male,4350,204.5,,,,,
16783,2010,2010-01-18,SNOWID1594,520226,2815124,Male,5810,213.0,,,,,
